Gazepoint Trace Data File,  09:38:00  04/04/2017 
sampindx  EyeFound   XPos   YPos   PupilDiam    EyeX    EyeY   EyeZ   GazeTiSec   RpTiSec   FoucsRange    FixIndx
  168        1       525     618      5.98     -4.2     3.4    -2.3    32.3153    32.3348      742.3      8
  169        1       525     608      5.92     -4.1     3.4    -2.0    32.3319    32.3516      742.1      8
  170        1       526     612      5.94     -4.0     3.4    -1.7    32.3486    32.3681      742.0      8
  171        1       523     613      5.96     -3.9     3.5    -1.2    32.3653    32.3849      742.0      8
  172        1       521     611      5.96     -4.0     3.5    -0.9    32.3819    32.4016      742.0      8
  173        1       520     608      5.96     -3.9     3.5    -0.6    32.3986    32.4181      742.0      8
  174        1       518     610      5.94     -4.0     3.5    -0.0    32.4153    32.4348      742.0      8
  175        1       522     609      5.96     -4.0     3.5     0.1    32.4319    32.4514      742.0      8
  176        1       661     558      5.98     -4.1     3.5    -0.1    32.4486    32.4682      742.0     -1
  177        1       834     531      5.94     -4.0     3.6     0.3    32.4653    32.4846      742.0     -1
  178        1       908     488      6.00     -3.8     3.6     0.0    32.4819    32.5015      742.0      9
  179        1       909     496      5.96     -3.6     3.7     0.1    32.4986    32.5181      742.0      9
  180        1       904     483      5.90     -3.4     3.8    -0.8    32.5153    32.5347      742.0      9
  181        1       904     487      5.90     -3.2     3.8    -0.8    32.5319    32.5516      742.0      9
  182        1       905     483      5.88     -3.0     3.8    -1.5    32.5486    32.5681      742.0      9
  183        1       898     509      5.88     -2.9     3.9    -1.0    32.5653    32.5849      741.7      9
  184        1       897     505      5.88     -2.8     4.0    -0.7    32.5820    32.6017      741.6      9
  185        1       903     511      5.88     -2.7     4.0    -0.7    32.5986    32.6180      741.5      9
  186        1       900     484      5.84     -2.7     4.0    -0.7    32.6153    32.6349      741.5      9
  187        1       903     485      5.84     -2.7     4.0    -1.0    32.6320    32.6515      741.5      9
  188        1       904     503      5.88     -2.7     4.0    -0.4    32.6486    32.6681      741.5      9
  189        1       904     484      5.88     -2.8     4.1    -0.1    32.6653    32.6848      741.5      9
  190        1       903     483      5.84     -2.8     4.0    -0.1    32.6820    32.7015      741.5      9
  191        1       900     506      5.84     -2.9     4.1     0.3    32.6986    32.7181      741.5      9
  192        1       905     496      5.82     -3.0     4.1     0.2    32.7153    32.7348      741.4      9
  193        1       901     495      5.86     -3.2     4.1     0.6    32.7320    32.7515      741.4      9
  194        1       908     507      5.88     -3.3     4.1     0.8    32.7486    32.7681      741.4      9
  195        1       901     506      5.86     -3.4     4.2     0.5    32.7653    32.7849      741.4      9
  196        1       820     484      5.86     -3.5     4.2     0.8    32.7820    32.8014      741.4     -1
  197        1       607     354      5.90     -3.6     4.1     0.5    32.7986    32.8179      741.4     -1
  198        1       363     276      5.86     -3.7     4.1     0.8    32.8153    32.8350      741.4     -1
  199        1       220     248      5.88     -3.9     4.1     0.5    32.8320    32.8515      741.4     10
  200        1       185     264      5.90     -4.1     4.1    -0.1    32.8486    32.8683      741.4     10
  201        1       161     264      5.94     -4.4     4.1    -0.3    32.8653    32.8850      741.4     10
  202        1       155     285      5.92     -4.6     4.2    -0.6    32.8820    32.9016      741.4     10
  203        1       158     279      5.90     -5.0     4.2    -0.4    32.8986    32.9183      741.4     10
  204        1       157     285      5.88     -5.4     4.3    -0.6    32.9153    32.9350      741.4     10
  205        1       155     282      5.92     -5.6     4.3    -0.2    32.9320    32.9516      741.4     10
  206        1       153     282      5.90     -5.7     4.3    -0.1    32.9486    32.9682      741.4     10
  207        1       153     280      5.98     -5.6     4.4     1.0    32.9653    32.9850      741.4     10
  208        1       148     282      5.94     -5.4     4.4     0.9    32.9820    33.0016      741.4     10
  209        1       147     280      5.94     -5.4     4.5     0.8    32.9986    33.0183      741.6     10
  210        1       153     284      5.84     -5.3     4.5     0.4    33.0153    33.0352      742.1     10
  211        1       109     244      5.92     -5.2     4.6     0.6    33.0320    33.0516      742.3     10
  212        1        90     207      5.94     -5.3     4.6     0.7    33.0486    33.0684      742.3     11
  213        1        79     200      5.96     -5.3     4.6     1.4    33.0653    33.0849      742.3     11
  214        1        76     195      5.98     -5.4     4.7     2.2    33.0820    33.1017      742.3     11
