fixindx    X     Y     SacDur  FixDur  FixStart
  322     1422   512      1       94    18531
  323     1065   368      2       96    18627
  324      768   334      2       26    18725
  325      430   249      2       35    18753
  326      713   334      2       67    18790
  327     1532   347      6       16    18863
  328     1712   333     10       72    18889
  329     1725   337     11       62    18972
  330     1718   315     11       72    19045
  331     1723   341     13       57    19130
  332      428    44     15       13    19202
  333      415    50      4        9    19219
  334      372   -66      0       19    19228
  335      388  -100      2       11    19249
  336     1733   334     19      125    19279
  337      428    89     12       21    19416
  338     1782   326     29       35    19466
  339     1713   349      0       80    19501
  340     1717   317     14       93    19595
  341      392    -2     11       34    19699
  342     1718   330     17       94    19750
  343      939   579      6       26    19850
  344      830   622      0       88    19876
  345      580   362      2       63    19966
  346      447   375      0       49    20029
  347      536   347      0       32    20078
  348      448   361      0       25    20110
  349      542   335      0       98    20135
  350      413   343      0       61    20233
  351      381   195      0       45    20294
  352      397   348      0      104    20339
  353      152   500     18       94    20461
  354      732   359      4       84    20559
  355      722   335     19       97    20662
  356      947   448     13      103    20772
  357      444   266      3       48    20878
  358      442    77      1       20    20927
  359     1232   356      8      135    20955
  360      958   560      3       94    21093
  361      930   492      0       15    21187
  362     1701   363      7      111    21209
  363      980   578     15      101    21335
  364      793   485      1       94    21437
  365      490   235      3       36    21534
  366      802   789      8       64    21578
  367      881   771      0      131    21642
  368     1070   362      9       27    21782
  369     1195   357      0      105    21809
  370      504   539      6       29    21920
  371      488   578      0        6    21949
  372      314   495      6       94    21961
  373      956   739     12       59    22067
  374      885   774      0      104    22126
  375      489   487      4       98    22234
  376     1212   348      7       87    22339
  377      754   503      3       21    22429
  378      622   499      0      106    22450
  379      623   473     12       92    22568
  380     1196   339      5       93    22665
  381      843   598      2       19    22760
  382      694   628      0       20    22779
  383      575   644      0       18    22799
  384      508   654      0       95    22817
  385      921   362      4       21    22916
  386     1037   356      0      164    22937
  387     1335   462      3       25    23104
  388     1401   489      9      127    23138
  389      758   364      5       60    23270
  390      637   276      1       44    23331
  391      741   342      0      100    23375
  392      662   277      0       34    23475
  393      205   289      4       34    23513
  394      460   229      2       13    23549
  395     1680   454     21        6    23583
  396     1578   389      2       18    23591
