Gazepoint Trace Data File,  07:02:54  03/30/2017 
sampindx  EyeFound   XPos   YPos   PupilDiam    EyeX    EyeY   EyeZ   GazeTiSec   RpTiSec   FoucsRange    FixIndx
  112        1        56     221      7.30     -4.8     4.6     1.1    38.9978    39.0176      745.4      4
  113        1        58     217      7.32     -4.9     4.6     1.3    39.0145    39.0341      745.4      4
  114        1        52     217      7.32     -4.9     4.7     1.4    39.0312    39.0508      745.4      4
  115        1        56     215      7.30     -5.0     4.7     1.5    39.0478    39.0675      745.4      4
  116        1        54     213      7.32     -5.1     4.7     1.7    39.0645    39.0842      745.4      4
  117        1        52     212      7.30     -5.1     4.7     1.8    39.0812    39.1008      745.4      4
  118        1        83     281      7.32     -5.1     4.7     2.1    39.0978    39.1172      745.4     -1
  119        1       156     409      7.32     -5.1     4.8     1.6    39.1145    39.1341      745.4      5
  120        1       173     401      7.36     -5.2     4.8     1.6    39.1312    39.1505      745.4      5
  121        1       177     402      7.34     -5.2     4.8     1.7    39.1478    39.1674      745.4      5
  122        1       174     410      7.32     -5.2     4.9     2.0    39.1645    39.1839      745.4      5
  123        1       175     408      7.38     -5.1     4.9     1.9    39.1812    39.2005      745.4      5
  124        1       168     416      7.38     -5.0     4.9     2.1    39.1978    39.2173      745.4      5
  125        1       178     419      7.36     -5.0     4.9     1.8    39.2145    39.2339      745.4      5
  126        1       178     418      7.38     -5.0     4.9     1.8    39.2312    39.2508      745.4      5
  127        1       178     424      7.38     -5.0     4.9     1.4    39.2478    39.2674      745.4      5
  128        1       171     405      7.42     -5.0     4.9     1.7    39.2645    39.2841      745.4      5
  129        1       175     403      7.44     -5.0     4.9     2.1    39.2812    39.3005      745.4      5
  130        1       176     398      7.46     -5.0     4.8     2.2    39.2978    39.3175      745.4      5
  131        1       299     406      7.46     -4.9     4.8     2.2    39.3145    39.3340      745.4     -1
  132        1       484     370      7.44     -4.8     4.8     2.1    39.3312    39.3506      745.6     -1
  133        1       596     351      7.46     -4.6     4.8     2.2    39.3478    39.3672      745.6      6
  134        1       587     369      7.42     -4.5     4.8     1.7    39.3645    39.3840      745.6      6
  135        1       580     342      7.44     -4.3     4.8     1.7    39.3812    39.4007      745.6      6
  136        1       578     346      7.46     -4.1     4.8     1.9    39.3978    39.4174      745.6      6
  137        1       573     347      7.44     -3.9     4.8     1.8    39.4145    39.4340      745.6      6
  138        1       581     352      7.42     -3.7     4.7     2.2    39.4312    39.4507      745.6      6
  139        1       581     355      7.44     -3.5     4.7     2.0    39.4478    39.4673      745.6      6
  140        1       573     352      7.42     -3.3     4.7     2.1    39.4645    39.4840      745.6      6
  141        1       582     361      7.42     -3.1     4.8     1.9    39.4812    39.5007      745.6      6
  142        1       578     375      7.42     -2.9     4.8     1.4    39.4978    39.5174      745.6      6
  143        1       580     383      7.46     -2.7     4.8     0.9    39.5145    39.5340      745.6      6
  144        1       581     378      7.42     -2.5     4.8     0.7    39.5312    39.5505      745.6      6
  145        1       582     375      7.44     -2.3     4.8     0.4    39.5479    39.5674      745.6      6
  146        1       576     354      7.52     -2.1     4.8     0.7    39.5645    39.5841      745.6      6
  147        1       582     353      7.48     -1.9     4.8     1.0    39.5812    39.6008      745.7      6
  148        1       577     358      7.54     -1.7     4.8     1.1    39.5979    39.6175      745.7      6
  149        1       578     365      7.52     -1.5     4.8     1.1    39.6145    39.6339      745.7      6
  150        1       575     355      7.58     -1.3     4.7     2.1    39.6312    39.6506      745.7      6
  151        1       568     357      7.58     -1.2     4.7     2.5    39.6479    39.6674      745.7      6
  152        1       568     359      7.58     -1.0     4.7     2.6    39.6645    39.6840      745.7      6
  153        1       637     371      7.60     -0.9     4.7     2.2    39.6812    39.7007      745.8      6
  154        1       710     356      7.66     -0.7     4.6     2.1    39.6979    39.7173      746.2      7
  155        1       712     354      7.64     -0.5     4.6     1.9    39.7145    39.7340      746.3      7
  156        1       715     358      7.64     -0.4     4.6     1.8    39.7312    39.7507      746.3      7
  157        1       717     371      7.64     -0.3     4.5     1.6    39.7479    39.7675      746.3      7
  158        1       710     371      7.66     -0.2     4.5     1.3    39.7645    39.7840      746.3      7
  159        1       714     368      7.68     -0.1     4.5     1.5    39.7812    39.8008      746.3      7
  160        1       714     371      7.68      0.0     4.5     1.6    39.7979    39.8173      746.3      7
  161        1       717     371      7.68      0.1     4.5     1.4    39.8145    39.8340      746.3      7
  162        1       711     372      7.68      0.2     4.5     1.0    39.8312    39.8506      746.3      7
  163        1       711     375      7.66      0.3     4.5     0.9    39.8479    39.8674      746.3      7
  164        1       709     378      7.70      0.5     4.5     0.8    39.8645    39.8840      746.3      7
  165        1       709     376      7.72      0.6     4.5     0.8    39.8812    39.9008      746.3      7
  166        1       710     372      7.74      0.7     4.5     1.4    39.8979    39.9175      746.3      7
  167        1       706     366      7.78      0.8     4.5     2.3    39.9145    39.9341      746.3      7
  168        1       698     368      7.78      0.9     4.5     2.6    39.9312    39.9508      746.3      7
  169        1       689     388      7.72      1.0     4.4     1.4    39.9479    39.9673      746.4      7
  170        1       626     530      7.84      1.1     4.4     0.4    39.9645    39.9840      747.1      8
  171        1       625     565      7.86      1.2     4.3     0.2    39.9812    40.0008      747.5      8
  172        1       626     592      7.88      1.3     4.3     0.1    39.9979    40.0174      747.4      8
  173        1       624     585      7.84      1.3     4.3    -0.1    40.0145    40.0340      747.4      8
  174        1       620     563      7.84      1.4     4.2    -0.5    40.0312    40.0508      747.4      8
  175        1       624     565      7.88      1.4     4.1    -0.5    40.0479    40.0673      747.4      8
  176        1       619     574      7.90      1.4     4.1    -0.6    40.0646    40.0843      747.4      8
  177        1       624     578      7.92      1.4     4.1    -0.6    40.0812    40.1006      747.4      8
  178        1       618     591      7.92      1.4     4.0    -0.3    40.0979    40.1173      747.4      8
  179        1       622     584      8.00      1.4     4.0     0.3    40.1146    40.1340      747.3      8
  180        1       619     581      8.02      1.4     4.0     1.2    40.1312    40.1508      747.3      8
  181        1       537     603      7.96      1.4     3.9    -0.4    40.1479    40.1673      747.3      9
  182        1       518     598      8.02      1.4     3.9    -1.6    40.1646    40.1840      747.4      9
  183        1       519     594      8.08      1.4     3.9    -1.6    40.1812    40.2008      747.8      9
  184        1       514     599      8.06      1.4     3.8    -1.3    40.1979    40.2175      747.5      9
  185        1       522     608      8.04      1.5     3.8    -1.2    40.2146    40.2341      746.4      9
  186        1       522     607      8.08      1.5     3.8    -0.9    40.2312    40.2507      745.8      9
  187        1       518     608      8.04      1.6     3.8    -0.7    40.2479    40.2673      745.8      9
  188        1       529     603      8.08      1.6     3.8    -0.6    40.2646    40.2840      745.8      9
  189        1       522     605      8.08      1.7     3.7    -0.5    40.2812    40.3008      745.8      9
  190        1       525     607      8.08      1.7     3.7    -0.5    40.2979    40.3175      745.8      9
  191        1       515     603      8.04      1.8     3.7    -0.6    40.3146    40.3341      745.8      9
  192        1       555     606      8.06      1.9     3.7    -0.5    40.3312    40.3508      745.8      9
  193        1       737     522      8.02      2.0     3.7    -1.0    40.3479    40.3674      745.6     -1
  194        1       911     482      8.02      2.2     3.7    -1.0    40.3646    40.3840      745.6     10
  195        1       933     489      7.98      2.5     3.7    -1.7    40.3812    40.4008      745.6     10
  196        1       933     474      8.00      2.7     3.6    -1.3    40.3979    40.4174      745.6     10
  197        1       926     483      7.96      2.9     3.6    -1.1    40.4146    40.4342      745.7     10
  198        1       922     486      7.94      3.1     3.6    -1.1    40.4312    40.4507      745.4     10
  199        1       921     489      7.92      3.1     3.6    -1.2    40.4479    40.4673      745.4     10
  200        1       917     478      7.92      3.2     3.6    -1.0    40.4646    40.4841      745.4     10
  201        1       922     505      7.90      3.3     3.6    -0.8    40.4812    40.5008      745.4     10
  202        1       927     483      7.88      3.4     3.5    -1.3    40.4979    40.5174      745.4     10
  203        1       917     507      7.90      3.6     3.4    -0.6    40.5146    40.5340      745.4     10
  204        1       923     483      7.88      3.7     3.3    -0.7    40.5312    40.5507      745.3     10
  205        1       921     501      7.90      3.9     3.2     0.2    40.5479    40.5673      745.3     10
  206        1       924     484      7.82      3.9     3.1    -0.3    40.5646    40.5840      745.3     10
  207        1       920     496      7.86      4.1     3.0    -0.3    40.5813    40.6007      745.3     10
  208        1       924     492      7.88      4.1     2.9    -0.1    40.5979    40.6174      745.3     10
  209        1       918     488      7.86      4.2     2.8    -0.1    40.6146    40.6340      745.3     10
  210        1       919     476      7.86      4.2     2.7    -0.0    40.6313    40.6508      745.3     10
  211        1       921     495      7.84      4.2     2.6    -0.1    40.6479    40.6673      745.3     10
  212        1       922     495      7.86      4.1     2.6     0.2    40.6646    40.6840      745.3     10
  213        1       915     490      7.84      4.0     2.5     0.1    40.6813    40.7007      745.3     10
  214        1       920     485      7.84      4.0     2.4    -0.1    40.6979    40.7175      745.3     10
  215        1       913     475      7.82      3.9     2.4    -0.2    40.7146    40.7341      745.3     10
  216        1       916     492      7.82      3.9     2.3    -0.2    40.7313    40.7507      745.3     10
  217        1       917     487      7.82      3.9     2.3    -0.3    40.7479    40.7673      745.3     10
  218        1       915     487      7.80      3.8     2.3    -0.4    40.7646    40.7840      745.3     10
  219        1       917     492      7.84      3.7     2.3    -0.3    40.7813    40.8008      745.3     10
  220        1       914     495      7.78      3.5     2.3    -0.2    40.7979    40.8174      745.3     10
  221        1       910     492      7.80      3.4     2.3    -0.0    40.8146    40.8340      745.3     10
  222        1       917     486      7.84      3.3     2.3     0.9    40.8313    40.8508      745.3     10
  223        1       911     480      7.78      3.2     2.4     0.7    40.8479    40.8674      745.3     10
  224        1       917     473      7.78      3.1     2.4     0.5    40.8646    40.8841      745.3     10
  225        1       910     479      7.74      3.0     2.4    -0.3    40.8813    40.9008      745.5     10
  226        1       922     481      7.76      2.9     2.4     0.3    40.8979    40.9174      745.6     10
  227        1       917     481      7.72      2.8     2.5     0.2    40.9146    40.9341      745.6     10
  228        1       918     471      7.72      2.7     2.5    -0.1    40.9313    40.9508      745.6     10
  229        1       918     485      7.72      2.6     2.6    -0.4    40.9479    40.9675      745.6     10
  230        1       918     490      7.70      2.4     2.7    -0.3    40.9646    40.9841      745.6     10
  231        1       911     489      7.72      2.3     2.7    -0.2    40.9813    41.0008      745.6     10
  232        1       920     481      7.72      2.2     2.8     0.1    40.9979    41.0175      745.7     10
  233        1       911     473      7.68      2.0     2.8    -0.1    41.0146    41.0341      745.7     10
  234        1       912     489      7.68      1.9     2.9    -0.5    41.0313    41.0507      745.7     10
  235        1       912     477      7.76      1.7     3.0     0.9    41.0479    41.0673      745.7     10
  236        1       862     464      7.70      1.4     3.0     0.4    41.0646    41.0840      745.7     10
  237        1       669     402      7.70      1.0     3.2     0.7    41.0813    41.1009      745.7     -1
  238        1       430     249      7.74      0.5     3.3     0.8    41.0979    41.1175      746.3     -1
  239        1       212     195      7.72     -0.1     3.5     1.3    41.1146    41.1342      746.5     -1
  240        1       142     162      7.72     -0.8     3.6     1.8    41.1313    41.1509      746.4     11
  241        1       129     185      7.66     -1.5     3.8     1.4    41.1479    41.1676      746.5     11
  242        1       117     177      7.66     -2.4     4.0     1.8    41.1646    41.1841      746.6     11
  243        1       114     179      7.60     -3.2     4.2     2.0    41.1813    41.2009      746.7     11
  244        1       111     183      7.60     -4.1     4.3     2.1    41.1979    41.2180      746.7     11
  245        1       116     203      7.56     -5.0     4.6     1.7    41.2146    41.2346      746.7     11
  246        1       106     185      7.58     -5.7     4.7     3.0    41.2313    41.2511      746.7     11
  247        1       105     183      7.56     -6.2     4.9     3.0    41.2480    41.2676      746.7     11
  248        1       107     190      7.50     -6.4     5.0     3.5    41.2646    41.2845      746.7     11
  249        1       101     185      7.50     -6.4     5.2     3.5    41.2813    41.3011      746.9     11
  250        1       109     186      7.46     -6.2     5.3     3.0    41.2980    41.3175      747.0     11
  251        1       138     128      7.48     -6.0     5.4     3.2    41.3146    41.3344      747.7     11
  252        1       159      94      7.42     -5.9     5.5     3.1    41.3313    41.3510      748.1     12
  253        1       158      88      7.42     -5.8     5.6     2.9    41.3480    41.3675      748.1     12
  254        1       163      95      7.38     -5.8     5.6     2.2    41.3646    41.3843      748.3     12
  255        1       158      94      7.38     -5.9     5.7     2.0    41.3813    41.4010      748.3     12
  256        1       164      99      7.38     -5.9     5.8     1.7    41.3980    41.4177      748.3     12
  257        1       156      86      7.38     -5.9     5.8     2.9    41.4146    41.4344      748.3     12
  258        1       162      95      7.34     -5.8     5.9     2.8    41.4313    41.4510      748.3     12
  259        1       158      95      7.30     -5.8     5.9     2.5    41.4480    41.4678      748.3     12
  260        1       155     101      7.32     -5.7     5.9     2.2    41.4646    41.4842      748.7     12
  261        1       152      87      7.32     -5.5     5.9     2.8    41.4813    41.5011      749.3     12
  262        1       152      93      7.30     -5.4     5.9     2.8    41.4980    41.5177      749.3     12
  263        1       159      93      7.30     -5.3     5.9     2.3    41.5146    41.5344      749.4     12
  264        1       149      84      7.30     -5.1     5.9     2.6    41.5313    41.5509      750.0     12
  265        1       154      90      7.26     -5.0     5.9     2.0    41.5480    41.5677      750.2     12
  266        1       153      93      7.24     -4.8     5.9     1.5    41.5646    41.5845      750.3     12
  267        1       163      81      7.26     -4.7     5.9     1.4    41.5813    41.6010      750.5     12
  268        1       155      98      7.26     -4.5     5.8     0.9    41.5980    41.6177      750.5     12
  269        1       217     158      7.30     -4.2     5.8     0.9    41.6146    41.6345      750.5     -1
  270        1       330     318      7.34     -4.0     5.7     0.7    41.6313    41.6508      750.5     -1
  271        1       433     388      7.32     -3.8     5.7     0.4    41.6480    41.6675      750.5     -1
  272        1       519     422      7.32     -3.5     5.6     0.0    41.6646    41.6842      750.5     13
  273        1       524     402      7.34     -3.2     5.5    -0.1    41.6813    41.7007      750.5     13
  274        1       529     389      7.30     -2.9     5.4    -0.6    41.6980    41.7175      750.6     13
  275        1       530     422      7.40     -2.7     5.3    -0.0    41.7146    41.7342      750.6     13
  276        1       525     401      7.40     -2.3     5.3     0.1    41.7313    41.7509      750.6     13
  277        1       529     393      7.34     -2.0     5.2    -0.8    41.7480    41.7675      750.6     13
  278        1       524     396      7.44     -1.6     5.1    -1.0    41.7647    41.7842      750.6     13
  279        1       526     400      7.38     -1.2     5.0    -1.1    41.7813    41.8008      750.5     13
  280        1       523     429      7.44     -0.8     5.0    -0.7    41.7980    41.8174      750.2     13
  281        1       519     416      7.44     -0.4     4.9    -0.7    41.8147    41.8343      750.2     13
  282        1       521     417      7.44     -0.0     4.9    -1.0    41.8313    41.8510      750.2     13
  283        1       520     409      7.42      0.4     4.8    -1.5    41.8480    41.8678      750.2     13
  284        1       553     448      7.48      0.8     4.8    -1.2    41.8647    41.8841      750.2     13
  285        1       582     461      7.46      1.2     4.7    -1.6    41.8813    41.9009      750.1     14
  286        1       588     475      7.48      1.6     4.6    -1.3    41.8980    41.9176      750.1     14
  287        1       585     474      7.48      2.0     4.6    -1.0    41.9147    41.9341      750.1     14
  288        1       590     460      7.44      2.4     4.5    -2.0    41.9313    41.9509      750.1     14
  289        1       588     470      7.46      2.8     4.4    -2.1    41.9480    41.9674      750.1     14
  290        1       593     467      7.44      3.0     4.3    -2.2    41.9647    41.9842      750.0     14
  291        1       593     467      7.50      3.1     4.3    -1.9    41.9813    42.0008      749.4     14
  292        1       590     488      7.50      3.2     4.2    -1.1    41.9980    42.0175      749.2     14
  293        1       591     478      7.52      3.2     4.2    -0.7    42.0147    42.0341      749.2     14
  294        1       590     485      7.48      3.2     4.1    -0.5    42.0313    42.0508      749.2     14
  295        1       591     471      7.44      3.0     4.1    -1.0    42.0480    42.0673      749.2     14
  296        1       595     476      7.46      3.0     4.0    -0.8    42.0647    42.0842      749.2     14
  297        1       528     441      7.52      2.8     4.0    -0.6    42.0813    42.1010      749.2     -1
  298        1       449     413      7.50      2.6     3.9    -0.3    42.0980    42.1175      749.1     15
  299        1       434     369      7.46      2.5     3.9    -0.7    42.1147    42.1341      749.0     15
  300        1       424     383      7.48      2.3     3.9    -0.8    42.1313    42.1508      749.0     15
  301        1       418     389      7.50      2.2     3.9    -0.3    42.1480    42.1676      749.0     15
  302        1       425     377      7.46      2.2     3.8    -0.8    42.1647    42.1842      749.0     15
  303        1       422     382      7.46      2.1     3.8    -1.0    42.1813    42.2009      749.0     15
  304        1       423     388      7.48      2.1     3.8    -1.0    42.1980    42.2176      749.0     15
  305        1       429     381      7.46      2.1     3.8    -1.3    42.2147    42.2341      749.0     15
  306        1       427     376      7.46      2.1     3.8    -1.4    42.2313    42.2507      749.0     15
  307        1       429     371      7.48      2.1     3.8    -1.4    42.2480    42.2675      749.0     15
  308        1       426     387      7.44      2.1     3.8    -2.1    42.2647    42.2841      749.0     15
  309        1       426     373      7.50      2.1     3.7    -1.6    42.2814    42.3008      749.0     15
  310        1       423     375      7.48      2.2     3.7    -1.2    42.2980    42.3176      749.1     15
  311        1       429     372      7.48      2.3     3.7    -0.9    42.3147    42.3342      748.7     15
  312        1       420     371      7.46      2.3     3.7    -1.0    42.3314    42.3508      748.4     15
  313        1       427     371      7.46      2.4     3.7    -0.9    42.3480    42.3677      748.4     15
  314        1       428     384      7.44      2.5     3.7    -0.7    42.3647    42.3842      748.4     15
  315        1       428     385      7.50      2.7     3.7    -0.2    42.3814    42.4010      748.4     15
  316        1       419     382      7.52      2.8     3.7     0.6    42.3980    42.4175      748.4     15
  317        1       416     383      7.48      3.0     3.7     1.3    42.4147    42.4342      748.4     15
  318        1       417     381      7.46      3.1     3.6     1.1    42.4314    42.4509      748.4     15
  319        1       418     375      7.54      3.2     3.6     2.5    42.4480    42.4676      748.7     15
  320        1       421     374      7.52      3.4     3.6     1.9    42.4647    42.4841      748.7     15
  321        1       417     366      7.52      3.4     3.6     1.4    42.4814    42.5011      748.8     15
  322        1       423     360      7.50      3.4     3.6     1.0    42.4980    42.5177      749.3     15
  323        1       418     358      7.52      3.5     3.6     0.6    42.5147    42.5343      749.7     15
