fixindx    X     Y     SacDur  FixDur  FixStart
  423      530   353      2        8    23523
  424      534   369      2       28    23533
  425      534   547      4        8    23565
  426      562   353      0       92    23573
  427      392   372      2       52    23667
  428      382   379      6        8    23725
  429      388   370      4       18    23737
  430      388   375      2       36    23757
  431      392   376      2       74    23795
  432      393   372      4       16    23873
  433      640   193      8       34    23897
  434      649   224      6        9    23937
  435      144   241      4       19    23950
  436       65   202      0        6    23969
