Gazepoint Trace Data File,  04:46:01  03/30/2017 
sampindx  EyeFound   XPos   YPos   PupilDiam    EyeX    EyeY   EyeZ   GazeTiSec   RpTiSec   FoucsRange    FixIndx
  109        1       170     516      7.22     -5.5     3.1     1.2    28.1586    28.1783      710.0      3
  110        1       173     523      7.18     -5.4     3.1     0.8    28.1753    28.1949      710.1      3
  111        1       177     515      7.14     -5.4     3.1     0.3    28.1919    28.2116      710.3      3
  112        1       175     518      7.20     -5.4     3.3     0.3    28.2086    28.2284      710.3      3
  113        1       183     528      7.14     -5.4     3.4     0.1    28.2253    28.2450      710.3      3
  114        1       170     522      7.16     -5.3     3.5     0.7    28.2419    28.2617      710.3      3
  115        1       181     523      7.10     -5.3     3.6     0.2    28.2586    28.2783      710.3      3
  116        1       174     512      7.12     -5.2     3.7     0.5    28.2753    28.2949      710.3      3
  117        1       178     517      7.10     -5.2     3.7     0.6    28.2919    28.3114      710.4      3
  118        1       180     516      7.08     -5.2     3.8     0.4    28.3086    28.3282      710.4      3
  119        1       175     517      7.06     -5.2     3.9     0.6    28.3253    28.3450      710.4      3
  120        1       177     510      7.08     -5.2     3.9     0.6    28.3419    28.3614      710.4      3
  121        1       182     517      7.04     -5.2     4.0    -0.1    28.3586    28.3783      710.4      3
  122        1       177     511      7.06     -5.1     4.0    -0.2    28.3753    28.3949      710.4      3
  123        1       178     521      7.04     -5.0     4.1    -0.1    28.3919    28.4117      710.4      3
  124        1       180     522      7.08     -5.0     4.1     0.6    28.4086    28.4281      710.4      3
  125        1       179     511      7.08     -4.8     4.2     1.0    28.4253    28.4447      710.4      3
  126        1       178     520      7.00     -4.7     4.3     0.5    28.4419    28.4616      710.4      3
  127        1       180     516      7.06     -4.5     4.4     0.4    28.4586    28.4782      710.3      3
  128        1       182     513      7.00     -4.4     4.4     0.4    28.4753    28.4948      710.3      3
  129        1       229     529      7.00     -4.3     4.5     0.1    28.4919    28.5115      710.3      3
  130        1       450     576      7.12     -4.1     4.5     0.3    28.5086    28.5283      710.3     -1
  131        1       685     592      7.04     -3.7     4.5    -0.2    28.5253    28.5449      710.3     -1
  132        1       865     597      7.06     -3.3     4.5    -0.3    28.5419    28.5615      710.3      4
  133        1       915     607      7.02     -2.7     4.5    -1.1    28.5586    28.5782      710.4      4
  134        1       919     598      6.98     -2.2     4.5    -1.7    28.5753    28.5950      710.4      4
  135        1       913     598      6.98     -1.6     4.5    -1.9    28.5919    28.6116      710.3      4
  136        1       913     612      7.02     -0.9     4.5    -1.1    28.6086    28.6283      709.8      4
  137        1       911     611      7.06     -0.2     4.5    -0.5    28.6253    28.6449      709.5      4
  138        1       912     603      7.00      0.5     4.4    -0.4    28.6420    28.6616      709.5      4
  139        1       909     615      7.02      1.2     4.4    -0.1    28.6586    28.6782      709.5      4
  140        1       910     615      7.02      1.9     4.4     0.5    28.6753    28.6949      709.5      4
  141        1       912     610      7.06      2.5     4.4     1.2    28.6920    28.7114      709.5      4
  142        1       907     607      7.02      3.1     4.4     1.0    28.7086    28.7282      709.5      4
  143        1       908     610      7.06      3.5     4.4     1.9    28.7253    28.7448      709.5      4
  144        1       914     602      7.04      3.7     4.4     2.5    28.7420    28.7616      709.7      4
  145        1       908     608      7.04      3.8     4.4     2.5    28.7586    28.7782      709.8      4
  146        1       915     615      6.98      3.7     4.4     1.6    28.7753    28.7949      710.4      4
  147        1       912     597      7.02      3.6     4.3     0.7    28.7920    28.8116      711.1      4
  148        1       921     600      7.04      3.6     4.3     0.1    28.8086    28.8283      711.3      4
  149        1       913     607      7.04      3.6     4.3     0.1    28.8253    28.8450      711.3      4
  150        1       920     608      7.04      3.5     4.2     0.4    28.8420    28.8615      711.3      4
  151        1      1008     582      7.04      3.4     4.2     0.3    28.8586    28.8782      711.3     -1
  152        1      1119     503      7.04      3.4     4.2    -0.0    28.8753    28.8949      711.3      5
  153        1      1147     490      7.08      3.4     4.1     0.2    28.8920    28.9116      711.3      5
  154        1      1150     497      7.06      3.5     4.2     0.5    28.9086    28.9283      711.3      5
  155        1      1147     497      7.04      3.4     4.2     0.3    28.9253    28.9448      711.3      5
  156        1      1149     489      7.02      3.4     4.1     0.0    28.9420    28.9617      711.3      5
  157        1      1150     502      6.96      3.2     4.1    -0.2    28.9586    28.9783      711.3      5
  158        1      1147     501      7.04      3.2     4.2     0.8    28.9753    28.9949      711.3      5
  159        1      1150     502      7.00      3.2     4.2     0.6    28.9920    29.0116      711.3      5
  160        1      1150     495      6.96      3.2     4.1    -0.1    29.0086    29.0284      711.4      5
  161        1      1144     501      7.04      3.3     4.1    -0.1    29.0253    29.0451      711.7      5
  162        1      1144     495      7.00      3.4     4.1     0.2    29.0420    29.0617      711.8      5
  163        1      1146     492      7.00      3.6     4.1    -0.2    29.0586    29.0784      711.8      5
  164        1      1144     488      6.98      3.7     4.1    -0.3    29.0753    29.0951      711.8      5
  165        1      1148     486      6.98      3.9     4.1     0.1    29.0920    29.1116      711.8      5
  166        1      1144     490      6.98      3.9     4.1     0.6    29.1086    29.1283      711.8      5
  167        0         0       0      0.00      0.0     0.0     0.0    0.0000    0.0000        0.0      5
  168        1      1146     502      6.98      3.2     4.1    -1.5    29.1420    29.1618      711.9      5
